"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"381","Cavan",0,0,4.8,33.3,61.9
"382","Cavan",26.3,10.5,5.3,31.6,26.3
"383","Cavan",0,18.8,31.3,18.8,31.3
"384","Cavan",3.3,3.3,13.3,46.7,33.3
"385","Cavan",9.8,7.3,9.8,26.8,46.3
"386","Cavan",20.7,3.4,13.8,20.7,41.4
"387","Cavan",6.7,3.3,13.3,36.7,40
"388","Cavan",5.6,0,5.6,55.6,33.3
"389","Cavan",17.6,11.8,0,23.5,47.1
"390","Cavan",4.2,8.3,8.3,29.2,50
"391","Cavan",3.3,3.3,30,20,43.3
"392","Cavan",5.3,10.5,26.3,21.1,36.8
"393","Cavan",12.5,6.3,31.3,18.8,31.3
"394","Cavan",8.3,8.3,20.8,20.8,41.7
"395","Cavan",6.8,11.4,34.1,13.6,34.1
"396","Cavan",22.2,2.2,17.8,22.2,35.6
"397","Cavan",11.5,15.4,3.8,30.8,38.5
"398","Cavan",0,16.7,22.2,33.3,27.8
"399","Cavan",0,0,3.6,17.9,78.6
"400","Cavan",14.3,4.8,19,19,42.9
"401","Cavan",10,0,10,45,35
"402","Cavan",13.3,0,40,26.7,20
"403","Cavan",7.7,7.7,7.7,46.2,30.8
"404","Cavan",0,3.3,11.7,11.7,73.3
"405","Cavan",4.8,9.5,14.3,38.1,33.3
"406","Cavan",17.2,6.9,10.3,20.7,44.8
"407","Cavan",12.5,4.2,33.3,20.8,29.2
"408","Cavan",3,0,15.2,36.4,45.5
"409","Cavan",23.8,9.5,9.5,19,38.1
"410","Cavan",16.7,5.6,11.1,27.8,38.9
"411","Cavan",6.7,10,16.7,46.7,20
"412","Cavan",6.7,6.7,20,26.7,40
"413","Cavan",10.7,17.9,25,17.9,28.6
"414","Cavan",12.5,12.5,25,25,25
"415","Cavan",21.7,4.3,17.4,13,43.5
"416","Cavan",0,3.7,11.1,40.7,44.4
"417","Cavan",16.7,3.3,23.3,13.3,43.3
"418","Cavan",7.4,0,11.1,25.9,55.6
"419","Cavan",9.1,4.5,18.2,40.9,27.3
"420","Cavan",0,15,20,40,25
"421","Cavan",17.4,8.7,8.7,34.8,30.4
"422","Cavan",10.3,3.4,24.1,24.1,37.9
"423","Cavan",20,8,12,32,28
"424","Cavan",2.5,0,10,35,52.5
"425","Cavan",10.5,5.3,26.3,36.8,21.1
